Fecha,Cashout
5/23/2014,0.00
5/30/2014,0.00
6/6/2014,0.00
6/13/2014,0.00
6/20/2014,0.00
6/27/2014,0.00
7/4/2014,0.00
7/11/2014,0.00
7/18/2014,0.00
7/25/2014,0.00
8/1/2014,0.00
8/8/2014,0.00
8/15/2014,0.00
8/22/2014,0.00
8/29/2014,0.00
9/5/2014,0.00
9/12/2014,0.00
9/19/2014,0.00
9/26/2014,0.00
10/3/2014,0.00
10/10/2014,0.00
10/17/2014,0.00
10/24/2014,0.00
10/31/2014,0.00
11/7/2014,0.00
11/14/2014,0.00
11/21/2014,0.00
11/28/2014,0.00
12/5/2014,0.00
12/12/2014,0.00
12/19/2014,0.00
12/26/2014,0.00
1/2/2015,0.00
1/9/2015,0.00
1/16/2015,0.00
1/23/2015,0.00
1/30/2015,0.00
2/6/2015,0.00
2/13/2015,0.00
2/20/2015,0.00
2/27/2015,0.00
3/6/2015,0.00
3/13/2015,0.00
3/20/2015,0.00
3/27/2015,0.00
4/3/2015,0.00
4/10/2015,0.00
4/17/2015,0.00
4/24/2015,0.00
5/1/2015,0.00
5/8/2015,0.00
5/15/2015,0.00
5/22/2015,0.00
5/29/2015,0.00
6/5/2015,0.00
6/12/2015,0.00
6/19/2015,0.00
6/26/2015,0.00
7/3/2015,0.00
7/10/2015,0.00
7/17/2015,0.00
7/24/2015,0.00
7/31/2015,0.00
8/7/2015,0.00
8/14/2015,0.00
8/21/2015,0.00
8/28/2015,0.00
9/4/2015,0.00
9/11/2015,0.00
9/18/2015,0.00
9/25/2015,0.00
10/2/2015,0.00
10/9/2015,0.00
10/16/2015,0.00
10/23/2015,0.00
10/30/2015,0.00
11/6/2015,0.00
11/13/2015,0.00
11/20/2015,0.00
11/27/2015,0.00
12/4/2015,0.00
12/11/2015,0.00
12/18/2015,0.00
12/25/2015,0.00
1/1/2016,0.00
1/8/2016,0.00
1/15/2016,0.00
1/22/2016,0.00
1/29/2016,0.00
2/5/2016,0.00
2/12/2016,0.00
2/19/2016,0.00
2/26/2016,0.00
3/4/2016,0.00
3/11/2016,0.00
3/18/2016,0.00
3/25/2016,0.00
4/1/2016,0.00
4/8/2016,0.00
4/15/2016,0.00
4/22/2016,0.00
4/29/2016,0.00
5/6/2016,0.00
5/13/2016,0.00
5/20/2016,0.00
5/27/2016,0.00
6/3/2016,0.00
6/10/2016,0.00
6/17/2016,0.00
6/24/2016,0.00
7/1/2016,0.00
7/8/2016,0.00
7/15/2016,0.00
7/22/2016,0.00
7/29/2016,0.00
8/5/2016,0.00
8/12/2016,0.00
8/19/2016,0.00
8/26/2016,0.00
9/1/2016,0.00
9/2/2016,0.00
9/9/2016,0.00
9/16/2016,0.00
9/23/2016,0.00
9/30/2016,628703.33
10/7/2016,0.00
10/11/2016,0.00
10/14/2016,0.00
10/21/2016,0.00
10/28/2016,628703.33
11/4/2016,0.00
11/11/2016,0.00
11/18/2016,0.00
11/25/2016,628703.33
12/2/2016,0.00
12/9/2016,0.00
12/16/2016,0.00
12/23/2016,0.00
12/30/2016,0.00
12/31/2016,628703.33
1/6/2017,0.00
1/13/2017,0.00
1/20/2017,0.00
1/27/2017,628703.33
2/3/2017,0.00
2/10/2017,0.00
2/17/2017,0.00
2/24/2017,628703.33
3/3/2017,0.00
3/10/2017,0.00
3/17/2017,0.00
3/24/2017,0.00
3/30/2017,0.00
3/31/2017,628703.33
4/7/2017,0.00
4/14/2017,0.00
4/21/2017,0.00
4/28/2017,628703.33
5/2/2017,0.00
5/5/2017,0.00
5/12/2017,0.00
5/19/2017,0.00
5/26/2017,628703.33
6/2/2017,0.00
6/9/2017,0.00
6/16/2017,0.00
6/23/2017,0.00
6/30/2017,628703.33
7/7/2017,0.00
7/14/2017,0.00
7/21/2017,0.00
7/28/2017,628703.33
8/4/2017,0.00
8/11/2017,0.00
8/18/2017,0.00
8/25/2017,0.00
8/30/2017,628703.33
9/1/2017,0.00
